id,name,name_norm,uic,latitude,longitude,parent_station_id,country,time_zone,is_city,is_main_station,is_airport,entur_id,entur_is_enabled
1,Château-Arnoux—St-Auban,Chateau-Arnoux-St-Auban,NA,44.08179,6.001625,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE
2,Château-Arnoux—St-Auban,Chateau-Arnoux-St-Auban,8775123,44.0615651,5.9973734,1,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE
3,Château-Arnoux Mairie,Chateau-Arnoux Mairie,8775122,44.063863,6.011248,1,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE
4,Digne-les-Bains,Digne-les-Bains,NA,44.35,6.35,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE
6,Digne-les-Bains,Digne-les-Bains,8775149,44.088710133980605,6.222982406616211,4,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE
7,La Crau,La Crau,8775561,43.1449352,6.0687663,NA,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE
8,Aire-sur-l’Adour,Aire-sur-l'Adour,8767104,43.703854,-0.258269,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE
9,Cagnes-sur-Mer,Cagnes-sur-Mer,8775632,43.65813,7.14864,5768,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE
10,Menton,Menton,NA,43.776486,7.504349,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE
11,Menton,Menton,8775648,43.774444,7.4933,10,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE
12,Menton—Garavan,Menton-Garavan,8775649,43.785202,7.517297,10,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE
16,Vievola,Vievola,NA,NA,NA,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE
17,Vievola,Vievola,8300618,NA,NA,16,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE
18,Vievola,Vievola,8775689,44.1125561,7.5627976,16,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE
19,Mandelieu-la-Napoule,Mandelieu-la-Napoule,8775759,43.523903,6.941313,NA,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE
23,Decazeville,Decazeville,NA,44.55,2.25,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE
24,Decazeville Centre,Decazeville Centre,8761367,44.561434,2.255896,23,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE
25,Viviez—Decazeville,Viviez-Decazeville,8761366,44.5555678,2.2182582,23,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE
26,Decazeville Fontvergne,Decazeville Fontvergne,8761369,44.55563533558816,2.263741493225097,23,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE
27,St-Sever Calvados,St-Sever Calvados,NA,48.833333,-1.033333,29,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE
28,St-Sever Centre,St-Sever Centre,8741929,48.839517,-1.049283,29,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE
29,St-Sever Calvados,St-Sever Calvados,8744771,48.843608,-1.0516979,NA,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE
30,Vire,Vire,NA,48.83897,-0.88928,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE
31,Vire Centre,Vire Centre,8744816,48.837638,-0.880538,30,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE
32,Vire,Vire,8744815,48.846329,-0.882884,30,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE
33,Marans,Marans,NA,46.3,-1,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE
34,Marans Centre,Marans Centre,8738988,46.290815,-0.979212,33,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE
35,Marans,Marans,8748506,46.30433,-1.00127,33,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE
36,Uzerche,Uzerche,8759420,45.4407088,1.5702735,5607,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE
38,Dijon Ville,Dijon Ville,8771304,47.32337,5.027208,1782,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE
40,Pontrieux,Pontrieux,NA,48.7,-3.166667,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE
41,Pontrieux Halte,Pontrieux Halte,8747383,48.6980361,-3.1644959,40,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE
42,Pontrieux,Pontrieux,8747384,48.7056437,-3.1574281,40,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE
43,Auboué,Auboue,8719168,49.216163,5.9714608,NA,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE
44,Périgueux,Perigueux,8759500,45.187408,0.707879,4957,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE
45,Besançon Viotte,Besancon Viotte,8771800,47.247019,6.022003,5029,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE
47,Douarnenez Office de Tourisme,Douarnenez Office de Tourisme,8747990,48.09336269013469,-4.3303728103637695,NA,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE
