New World,144533,"28 Sep, 2021","Massively Multiplayer, Open World, MMORPG, Adventure, RPG, Action, PvP, PvE, Multiplayer, Fantasy, Character Customization, Crafting, Third Person, Walking Simulator, Open World Survival Craft, Sandbox, Co-op, Violent, Souls-like, Sexual Content"
Rust,553831,"8 Feb, 2018","Survival, Crafting, Multiplayer, Open World, Open World Survival Craft, Building, Sandbox, PvP, Adventure, First-Person, Action, FPS, Nudity, Co-op, Shooter, Online Co-Op, Indie, Early Access, Post-apocalyptic, Simulation"
Valheim,242049,"2 Feb, 2021","Open World Survival Craft, Survival, Online Co-Op, Open World, Crafting, Building, Multiplayer, Exploration, Co-op, Base Building, Sandbox, Adventure, Mythology, Sailing, RPG, Early Access, Action, Indie, PvP, Fishing"
Terraria,656260,"16 May, 2011","Open World Survival Craft, Sandbox, Survival, 2D, Multiplayer, Adventure, Crafting, Pixel Graphics, Building, Exploration, Co-op, Open World, Indie, Online Co-Op, Action, RPG, Singleplayer, Replay Value, Platformer, Atmospheric"
Raft,120610,"23 May, 2018","Survival, Open World Survival Craft, Multiplayer, Co-op, Crafting, Open World, Building, Base Building, Online Co-Op, Adventure, Sandbox, Early Access, First-Person, Singleplayer, Underwater, Simulation, Action, Indie, Strategy, Massively Multiplayer"
Team Fortress 2,821076,"10 Oct, 2007","Free to Play, Hero Shooter, Multiplayer, FPS, Shooter, Action, Class-Based, Team-Based, Funny, First-Person, Online Co-Op, Competitive, Cartoony, Trading, Co-op, Comedy, Robots, Tactical, Cartoon, Crafting"
The Forest,263766,"30 Apr, 2018","Open World Survival Craft, Survival, Open World, Horror, Crafting, Adventure, Building, Survival Horror, First-Person, Action, Exploration, Sandbox, Atmospheric, Simulation, Singleplayer, Indie, Realistic, Gore, Early Access, Zombies"
ARK: Survival Evolved,376796,"27 Aug, 2017","Open World Survival Craft, Survival, Open World, Multiplayer, Dinosaurs, Crafting, Building, Adventure, Base Building, Co-op, Action, First-Person, Sandbox, Massively Multiplayer, Singleplayer, Early Access, RPG, Dragons, Sci-fi, Indie"
Baldur's Gate 3,41296,"6 Oct, 2020","Early Access, RPG, Dungeons & Dragons, Choices Matter, Turn-Based, Story Rich, Character Customization, Party-Based RPG, CRPG, Co-op Campaign, Fantasy, Romance, Class-Based, Dark Fantasy, PvE, Narration, Stealth, Combat, Crafting, Dragons"
The Riftbreaker,5882,"14 Oct, 2021","Base Building, Strategy, Tower Defense, Survival, Hack and Slash, Crafting, Action RPG, Adventure, Sci-fi, Simulation, Resource Management, RPG, Exploration, Building, Loot, Isometric, Sandbox, Action, Atmospheric, Aliens"
Black Desert,36341,"25 Jul, 2019","MMORPG, Massively Multiplayer, RPG, Open World, Character Customization, Adventure, Fantasy, Strategy, Action, 3D, Simulation, Atmospheric, Crafting, Cooking, Magic, Medieval, PvP, Multiplayer, War, Combat"
Satisfactory,63307,"8 Jun, 2020","Base Building, Open World, Automation, Multiplayer, Crafting, Co-op, Resource Management, Building, Sandbox, Exploration, Adventure, Simulation, Early Access, Strategy, Open World Survival Craft, Survival, Indie, First-Person, Sci-fi, Singleplayer"
Don't Starve Together,189081,"21 Apr, 2016","Survival, Open World Survival Craft, Multiplayer, Co-op, Open World, Adventure, Crafting, Online Co-Op, Sandbox, Difficult, Indie, 2D, Funny, Atmospheric, Survival Horror, Strategy, Singleplayer, Horror, Action, Simulation"
Gas Station Simulator,6646,"15 Sep, 2021","Simulation, Indie, Economy, Building, Base Building, Singleplayer, Realistic, Crafting, Open World, First-Person, Relaxing, Casual, Multiplayer, Design & Illustration, Funny, Choices Matter, Destruction, Family Friendly, Memes, Education"
Factorio,102720,"14 Aug, 2020","Automation, Base Building, Resource Management, Sandbox, Crafting, Strategy, Multiplayer, Survival, Management, Open World, Co-op, Building, 2D, Casual, Moddable, Singleplayer, Simulation, Trains, Pixel Graphics, City Builder"
Grounded,19427,"28 Jul, 2020","Survival, Multiplayer, Base Building, Crafting, Adventure, Co-op, Open World Survival Craft, Open World, Action, Horror, Online Co-Op, Exploration, Early Access, First-Person, Singleplayer, Sandbox, RPG, Third Person, Funny, Cute"
Stardew Valley,338280,"26 Feb, 2016","Farming Sim, Life Sim, RPG, Pixel Graphics, Multiplayer, Agriculture, Relaxing, Simulation, Crafting, Sandbox, Indie, Building, Singleplayer, Casual, Open World, 2D, Great Soundtrack, Cute, Dating Sim, Fishing"
Medieval Dynasty,17525,"23 Sep, 2021","Survival, Building, Open World, Medieval, RPG, Singleplayer, Simulation, City Builder, Crafting, Adventure, Sandbox, Colony Sim, Realistic, Resource Management, Multiplayer, Action, Historical, Early Access, First-Person, Exploration"
Crossout,45911,"26 Jul, 2017","Free to Play, Vehicular Combat, Action, Multiplayer, Racing, Crafting, Building, Automobile Sim, Post-apocalyptic, Shooter, PvP, Massively Multiplayer, Adventure, Destruction, Driving, Third Person, Survival, Atmospheric, MMORPG, PvE"
Project Zomboid,38143,"8 Nov, 2013","Survival, Zombies, Open World, Open World Survival Craft, Sandbox, Multiplayer, Post-apocalyptic, Indie, Crafting, Simulation, Co-op, Building, RPG, Survival Horror, Isometric, Realistic, Early Access, Singleplayer, 2D, Adventure"
Days Gone,15101,"17 May, 2021","Open World, Singleplayer, Zombies, Post-apocalyptic, Survival, Action, Action-Adventure, Third Person, Adventure, Multiplayer, Horror, Motorbike, Survival Horror, Open World Survival Craft, Crafting, Story Rich, Cinematic, Third-Person Shooter, Violent, Gore"
